basket,n,term_m,prot_bar,coupon,status
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,9.8,ok
NFLX/ORCL/SPOT,3,24,0.6,10.9,ok
NFLX/ORCL/UBER,3,24,0.6,10.1,ok
NFLX/ORCL/UBER,3,12,0.6,13.6,ok
NFLX/ORCL/AMZN,3,12,0.6,12.2,ok
NFLX/ORCL/AMZN,3,12,0.6,12.1,ok
NFLX/GOOG/AMZN,3,12,0.6,1.5,ok
NFLX/GOOG/MSFT,3,12,0.6,1.0,ok
AMD/ORCL/DELL,3,12,0.6,27.4,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.7,14.1,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.7,13.9,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.7,13.5,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,9.4,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,8.4,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,8.9,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,9.4,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,10.0,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,10.5,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,10.6,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,10.7,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,13.9,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,13.9,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,13.5,ok
MBLY/INTC/ORCL/MDB/CHTR/TEAM,6,60,0.6,12.3,ok
NFLX/PDD/ADBE/NIO,4,24,0.65,18.2,ok
NFLX/PDD/ADBE/MBLY,4,24,0.65,16.5,ok
NFLX/PDD/ADBE/WDAY,4,24,0.65,11.1,ok
NFLX/PDD/ADBE/CHTR,4,24,0.65,16.5,ok
INTC/LI/TEAM/XPEV/PDD/ROKU,6,36,0.6,16.8,ok
INTC/LI/TEAM/XPEV/PDD/ROKU,6,36,0.6,17.4,ok
INTC/LI/TEAM/XPEV/PDD/ROKU,6,36,0.6,17.6,ok
XPEV/SE/TME/TEAM/LI/BIDU,6,60,0.6,14.7,ok
MU/WDC,2,24,0.6,8.1,ok
MU/WDC,2,24,0.6,11.5,ok
MU/WDC,2,24,0.6,13.6,ok
MU/WDC,2,12,0.6,17.9,ok
MOS/ETHA/CHTR/STLA/LW/MSTR,6,60,0.6,9.6,ok
MOS/DT/LI/DXCM/BABA/BKNG,6,36,0.6,39.6,ok
CF/ETHA/CHTR/STLA/LW/MSTR,6,60,0.6,,reject_leverage
CF/ETHA/CHTR/STLA/LW/MSTR,6,60,0.6,,reject_leverage
MOS/ETHA/CHTR/STLA/LW/MSTR,6,60,0.6,22.5,ok
CF/ETHA/CHTR/STLA/LW/MSTR,6,60,0.6,30.6,ok
MOS/ETHA/CHTR/STLA/LW/MSTR,6,60,0.6,26.3,ok
ORCL/GOOG/AMZN/NFLX/IBM/TSM,6,60,0.65,10.5,ok
ORCL/GOOG/AMZN/HAL/IBM/TSM,6,60,0.65,12.5,ok
ORCL/GOOG/AMZN/MSFT/IBM/TSM,6,60,0.65,7.6,ok
ORCL/GOOG/AMZN/MSFT/IBM/WMT,6,60,0.65,8.7,ok
V/GOOG/AMZN/MSFT/IBM/KO,6,60,0.65,,reject_margin
V/GOOG/AMZN/MSFT/IBM/KO,6,60,0.65,2.4,ok
V/GOOG/AMZN/MSFT/IBM/KO,6,60,0.65,2.4,ok
V/CAT/AMZN/MSFT/IBM/KO,6,60,0.65,12.7,ok
V/MMM/AMZN/MSFT/IBM/KO,6,60,0.65,9.0,ok
V/GLD/AMZN/MSFT/IBM/KO,6,60,0.65,8.3,ok
